,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,season
0,D1,01/08/97,Schalke 04,Leverkusen,2,1,H,0,1,A,,,,,,,,,,,,S_1997_1998
1,D1,01/08/97,Stuttgart,Munich 1860,1,1,D,1,0,H,,,,,,,,,,,,S_1997_1998
2,D1,02/08/97,Bayern Munich,Kaiserslautern,0,1,A,0,0,D,,,,,,,,,,,,S_1997_1998
3,D1,02/08/97,Bochum,Bielefeld,1,0,H,0,0,D,,,,,,,,,,,,S_1997_1998
4,D1,02/08/97,FC Koln,Duisburg,3,2,H,1,1,D,,,,,,,,,,,,S_1997_1998
5,D1,02/08/97,Hansa Rostock,Wolfsburg,0,1,A,0,0,D,,,,,,,,,,,,S_1997_1998
6,D1,02/08/97,Karlsruhe,Werder Bremen,3,1,H,1,0,H,,,,,,,,,,,,S_1997_1998
7,D1,03/08/97,Hamburg,M'gladbach,2,2,D,0,1,A,,,,,,,,,,,,S_1997_1998
8,D1,03/08/97,Hertha,Dortmund,1,1,D,1,1,D,,,,,,,,,,,,S_1997_1998
9,D1,05/08/97,Bielefeld,Stuttgart,2,1,H,0,1,A,,,,,,,,,,,,S_1997_1998
10,D1,05/08/97,Duisburg,Schalke 04,1,0,H,0,0,D,,,,,,,,,,,,S_1997_1998
11,D1,05/08/97,Leverkusen,Bochum,3,2,H,0,1,A,,,,,,,,,,,,S_1997_1998
12,D1,05/08/97,Munich 1860,Karlsruhe,2,2,D,1,1,D,,,,,,,,,,,,S_1997_1998
13,D1,05/08/97,Werder Bremen,Hansa Rostock,1,1,D,1,0,H,,,,,,,,,,,,S_1997_1998
14,D1,06/08/97,Dortmund,FC Koln,3,0,H,2,0,H,,,,,,,,,,,,S_1997_1998
15,D1,06/08/97,Kaiserslautern,Hertha,1,0,H,0,0,D,,,,,,,,,,,,S_1997_1998
16,D1,06/08/97,M'gladbach,Bayern Munich,1,1,D,1,0,H,,,,,,,,,,,,S_1997_1998
17,D1,06/08/97,Wolfsburg,Hamburg,1,1,D,1,1,D,,,,,,,,,,,,S_1997_1998
18,D1,08/08/97,Bochum,Duisburg,0,0,D,0,0,D,,,,,,,,,,,,S_1997_1998
19,D1,08/08/97,Stuttgart,Leverkusen,1,0,H,1,0,H,,,,,,,,,,,,S_1997_1998
20,D1,09/08/97,Bayern Munich,Wolfsburg,5,2,H,3,1,H,,,,,,,,,,,,S_1997_1998
21,D1,09/08/97,FC Koln,Kaiserslautern,0,0,D,0,0,D,,,,,,,,,,,,S_1997_1998
22,D1,09/08/97,Hansa Rostock,Hamburg,2,1,H,2,0,H,,,,,,,,,,,,S_1997_1998
23,D1,09/08/97,Karlsruhe,Bielefeld,3,1,H,1,0,H,,,,,,,,,,,,S_1997_1998
24,D1,09/08/97,Schalke 04,Dortmund,1,0,H,0,0,D,,,,,,,,,,,,S_1997_1998
25,D1,09/08/97,Werder Bremen,Munich 1860,3,3,D,2,1,H,,,,,,,,,,,,S_1997_1998
26,D1,10/08/97,Hertha,M'gladbach,2,2,D,1,0,H,,,,,,,,,,,,S_1997_1998
27,D1,22/08/97,Munich 1860,Hansa Rostock,0,1,A,0,0,D,,,,,,,,,,,,S_1997_1998
28,D1,22/08/97,Wolfsburg,Hertha,2,1,H,1,0,H,,,,,,,,,,,,S_1997_1998
29,D1,23/08/97,Bielefeld,Werder Bremen,3,0,H,1,0,H,,,,,,,,,,,,S_1997_1998
30,D1,23/08/97,Dortmund,Bochum,5,2,H,3,1,H,,,,,,,,,,,,S_1997_1998
31,D1,23/08/97,Duisburg,Stuttgart,0,3,A,0,1,A,,,,,,,,,,,,S_1997_1998
