,Unnamed: 0,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Time,season,Attendance
0,0,E0,17/08/96,Arsenal,West Ham,2,0,H,2,0,H,,,,,,,,,,,,S_1996_1997,
1,1,E0,17/08/96,Blackburn,Tottenham,0,2,A,0,1,A,,,,,,,,,,,,S_1996_1997,
2,2,E0,17/08/96,Coventry,Nott'm Forest,0,3,A,0,2,A,,,,,,,,,,,,S_1996_1997,
3,3,E0,17/08/96,Derby,Leeds,3,3,D,0,1,A,,,,,,,,,,,,S_1996_1997,
4,4,E0,17/08/96,Everton,Newcastle,2,0,H,2,0,H,,,,,,,,,,,,S_1996_1997,
5,5,E0,17/08/96,Middlesbrough,Liverpool,3,3,D,2,2,D,,,,,,,,,,,,S_1996_1997,
6,6,E0,17/08/96,Sheffield Weds,Aston Villa,2,1,H,0,0,D,,,,,,,,,,,,S_1996_1997,
7,7,E0,17/08/96,Sunderland,Leicester,0,0,D,0,0,D,,,,,,,,,,,,S_1996_1997,
8,8,E0,17/08/96,Wimbledon,Man United,0,3,A,0,1,A,,,,,,,,,,,,S_1996_1997,
9,9,E0,18/08/96,Southampton,Chelsea,0,0,D,0,0,D,,,,,,,,,,,,S_1996_1997,
10,10,E0,19/08/96,Liverpool,Arsenal,2,0,H,0,0,D,,,,,,,,,,,,S_1996_1997,
11,11,E0,20/08/96,Leeds,Sheffield Weds,0,2,A,0,1,A,,,,,,,,,,,,S_1996_1997,
12,12,E0,21/08/96,Aston Villa,Blackburn,1,0,H,0,0,D,,,,,,,,,,,,S_1996_1997,
13,13,E0,21/08/96,Chelsea,Middlesbrough,1,0,H,0,0,D,,,,,,,,,,,,S_1996_1997,
14,14,E0,21/08/96,Leicester,Southampton,2,1,H,2,0,H,,,,,,,,,,,,S_1996_1997,
15,15,E0,21/08/96,Man United,Everton,2,2,D,0,2,A,,,,,,,,,,,,S_1996_1997,
16,16,E0,21/08/96,Newcastle,Wimbledon,2,0,H,1,0,H,,,,,,,,,,,,S_1996_1997,
17,17,E0,21/08/96,Nott'm Forest,Sunderland,1,4,A,1,4,A,,,,,,,,,,,,S_1996_1997,
18,18,E0,21/08/96,Tottenham,Derby,1,1,D,1,0,H,,,,,,,,,,,,S_1996_1997,
19,19,E0,21/08/96,West Ham,Coventry,1,1,D,0,1,A,,,,,,,,,,,,S_1996_1997,
20,20,E0,24/08/96,Aston Villa,Derby,2,0,H,1,0,H,,,,,,,,,,,,S_1996_1997,
21,21,E0,24/08/96,Chelsea,Coventry,2,0,H,1,0,H,,,,,,,,,,,,S_1996_1997,
22,22,E0,24/08/96,Leicester,Arsenal,0,2,A,0,1,A,,,,,,,,,,,,S_1996_1997,
23,23,E0,24/08/96,Liverpool,Sunderland,0,0,D,0,0,D,,,,,,,,,,,,S_1996_1997,
24,24,E0,24/08/96,Newcastle,Sheffield Weds,1,2,A,1,1,D,,,,,,,,,,,,S_1996_1997,
25,25,E0,24/08/96,Nott'm Forest,Middlesbrough,1,1,D,0,0,D,,,,,,,,,,,,S_1996_1997,
26,26,E0,24/08/96,Tottenham,Everton,0,0,D,0,0,D,,,,,,,,,,,,S_1996_1997,
27,27,E0,24/08/96,West Ham,Southampton,2,1,H,0,1,A,,,,,,,,,,,,S_1996_1997,
28,28,E0,25/08/96,Man United,Blackburn,2,2,D,1,1,D,,,,,,,,,,,,S_1996_1997,
29,29,E0,26/08/96,Leeds,Wimbledon,1,0,H,0,0,D,,,,,,,,,,,,S_1996_1997,
30,30,E0,02/09/96,Sheffield Weds,Leicester,2,1,H,1,1,D,,,,,,,,,,,,S_1996_1997,
31,31,E0,04/09/96,Arsenal,Chelsea,3,3,D,1,2,A,,,,,,,,,,,,S_1996_1997,
32,32,E0,04/09/96,Blackburn,Leeds,0,1,A,0,1,A,,,,,,,,,,,,S_1996_1997,
33,33,E0,04/09/96,Coventry,Liverpool,0,1,A,0,0,D,,,,,,,,,,,,S_1996_1997,
34,34,E0,04/09/96,Derby,Man United,1,1,D,1,1,D,,,,,,,,,,,,S_1996_1997,
35,35,E0,04/09/96,Everton,Aston Villa,0,1,A,0,0,D,,,,,,,,,,,,S_1996_1997,
36,36,E0,04/09/96,Middlesbrough,West Ham,4,1,H,2,0,H,,,,,,,,,,,,S_1996_1997,
37,37,E0,04/09/96,Southampton,Nott'm Forest,2,2,D,0,2,A,,,,,,,,,,,,S_1996_1997,
38,38,E0,04/09/96,Sunderland,Newcastle,1,2,A,1,0,H,,,,,,,,,,,,S_1996_1997,
39,39,E0,04/09/96,Wimbledon,Tottenham,1,0,H,1,0,H,,,,,,,,,,,,S_1996_1997,
40,40,E0,07/09/96,Aston Villa,Arsenal,2,2,D,1,0,H,,,,,,,,,,,,S_1996_1997,
41,41,E0,07/09/96,Leeds,Man United,0,4,A,0,1,A,,,,,,,,,,,,S_1996_1997,
42,42,E0,07/09/96,Liverpool,Southampton,2,1,H,1,0,H,,,,,,,,,,,,S_1996_1997,
43,43,E0,07/09/96,Middlesbrough,Coventry,4,0,H,2,0,H,,,,,,,,,,,,S_1996_1997,
44,44,E0,07/09/96,Nott'm Forest,Leicester,0,0,D,0,0,D,,,,,,,,,,,,S_1996_1997,
45,45,E0,07/09/96,Sheffield Weds,Chelsea,0,2,A,0,1,A,,,,,,,,,,,,S_1996_1997,
46,46,E0,07/09/96,Tottenham,Newcastle,1,2,A,1,1,D,,,,,,,,,,,,S_1996_1997,
47,47,E0,07/09/96,Wimbledon,Everton,4,0,H,1,0,H,,,,,,,,,,,,S_1996_1997,
48,48,E0,08/09/96,Sunderland,West Ham,0,0,D,0,0,D,,,,,,,,,,,,S_1996_1997,
49,49,E0,09/09/96,Blackburn,Derby,1,2,A,1,1,D,,,,,,,,,,,,S_1996_1997,
50,50,E0,14/09/96,Coventry,Leeds,2,1,H,0,1,A,,,,,,,,,,,,S_1996_1997,
51,51,E0,14/09/96,Derby,Sunderland,1,0,H,0,0,D,,,,,,,,,,,,S_1996_1997,
52,52,E0,14/09/96,Everton,Middlesbrough,1,2,A,1,0,H,,,,,,,,,,,,S_1996_1997,
53,53,E0,14/09/96,Man United,Nott'm Forest,4,1,H,2,1,H,,,,,,,,,,,,S_1996_1997,
54,54,E0,14/09/96,Newcastle,Blackburn,2,1,H,1,0,H,,,,,,,,,,,,S_1996_1997,
55,55,E0,14/09/96,Southampton,Tottenham,0,1,A,0,0,D,,,,,,,,,,,,S_1996_1997,
56,56,E0,14/09/96,West Ham,Wimbledon,0,2,A,0,0,D,,,,,,,,,,,,S_1996_1997,
57,57,E0,15/09/96,Chelsea,Aston Villa,1,1,D,1,1,D,,,,,,,,,,,,S_1996_1997,
58,58,E0,15/09/96,Leicester,Liverpool,0,3,A,0,0,D,,,,,,,,,,,,S_1996_1997,
59,59,E0,16/09/96,Arsenal,Sheffield Weds,4,1,H,0,1,A,,,,,,,,,,,,S_1996_1997,
