date,ranking,Manchester City,Liverpool,Chelsea,Tottenham Hotspur,Arsenal,Manchester United,West Ham United,Wolverhampton,Brighton and Hove Albion,Leicester City,Aston Villa,Crystal Palace,Southampton,Leeds United,Brentford,Everton,Burnley,Watford,Newcastle,Norwich City,Fulham,AFC Bournemouth,Nottingham Forest
2022-01-03,defense,3.0,3.0,2.4,2.2,2.2,2.2,2.0,1.7,1.9,2.2,1.9,1.8,2.0,1.9,1.7,1.8,1.7,1.6,1.7,1.5,,,
2022-01-03,offense,0.2,0.3,0.3,0.7,0.5,0.6,0.7,0.6,0.6,1.0,0.7,0.7,0.8,1.1,0.9,0.9,0.8,1.0,0.9,1.1,,,
2022-01-03,overall,93.8,92.9,88.9,78.0,82.4,79.3,74.0,73.5,75.1,71.1,73.3,71.2,72.3,62.6,65.6,66.4,66.3,59.3,65.8,54.1,,,
2022-01-13,defense,2.9,3.0,2.4,2.3,2.2,2.2,2.0,1.7,1.9,2.1,2.0,1.9,1.9,1.9,1.8,1.7,1.6,1.6,1.8,1.5,,,
2022-01-13,offense,0.2,0.3,0.3,0.7,0.5,0.7,0.7,0.5,0.6,1.0,0.6,0.7,0.9,1.1,0.9,0.9,0.8,1.1,0.9,1.2,,,
2022-01-13,overall,93.8,92.8,89.3,79.9,82.2,78.4,74.3,73.8,74.6,69.8,76.7,72.8,69.2,61.6,67.1,63.8,64.4,59.0,66.7,53.0,,,
2022-01-20,defense,2.9,2.9,2.4,2.3,2.2,2.2,2.0,1.7,1.8,2.0,2.0,1.9,1.9,1.9,1.8,1.7,1.6,1.6,1.7,1.5,,,
2022-01-20,offense,0.2,0.3,0.3,0.7,0.5,0.7,0.7,0.6,0.6,1.0,0.6,0.7,0.9,1.1,0.8,0.9,0.8,1.1,0.8,1.2,,,
2022-01-20,overall,93.7,93.1,88.7,80.3,82.7,78.3,75.3,72.2,74.2,68.6,76.2,73.1,69.2,62.8,67.7,63.7,64.4,59.0,67.2,53.0,,,
2022-01-23,defense,2.9,2.9,2.4,2.4,2.2,2.2,2.0,1.7,1.8,2.0,2.0,1.9,1.9,1.9,1.8,1.7,1.6,1.6,1.7,1.5,,,
2022-01-23,offense,0.2,0.3,0.3,0.7,0.5,0.7,0.7,0.6,0.6,1.0,0.6,0.7,0.9,1.1,0.8,0.9,0.8,1.1,0.8,1.2,,,
2022-01-23,overall,93.7,93.1,88.7,81.1,82.7,78.3,74.4,72.2,74.2,68.6,76.2,73.1,69.2,62.8,67.7,63.7,64.4,59.0,67.2,53.0,,,
2022-01-23,defense,2.9,2.9,2.4,2.4,2.2,2.2,2.0,1.7,1.8,2.0,2.0,1.9,1.9,1.9,1.8,1.7,1.6,1.6,1.7,1.5,,,
2022-01-23,offense,0.2,0.3,0.3,0.7,0.5,0.7,0.7,0.6,0.6,1.0,0.6,0.7,0.9,1.1,0.8,0.9,0.8,1.1,0.8,1.2,,,
2022-01-23,overall,93.7,93.1,88.7,81.1,82.7,78.3,74.4,72.2,74.2,68.6,76.2,73.1,69.2,62.8,67.7,63.7,64.4,59.0,67.2,53.0,,,
2022-01-07,defense,2.8,2.9,2.4,2.4,2.1,2.1,2.0,1.7,1.8,2.0,2.0,1.9,1.9,1.9,1.9,1.7,1.6,1.6,1.8,1.5,,,
2022-01-07,offense,0.2,0.3,0.4,0.7,0.5,0.7,0.8,0.6,0.6,0.9,0.7,0.7,0.9,1.2,0.8,1.0,0.9,1.0,0.9,1.2,,,
2022-01-07,overall,93.4,93.2,86.2,81.7,81.6,77.8,73.1,72.3,74.6,69.5,75.8,74.3,69.7,62.4,70.4,62.8,63.9,59.7,65.9,52.7,,,
2022-01-14,defense,2.8,3.0,2.5,2.4,2.2,2.1,2.0,1.7,1.9,2.0,2.0,1.9,1.9,1.9,1.9,1.7,1.6,1.6,1.7,1.5,,,
2022-01-14,offense,0.2,0.3,0.4,0.7,0.5,0.6,0.8,0.6,0.6,0.9,0.7,0.7,1.0,1.1,0.8,1.0,0.9,1.0,0.8,1.2,,,
2022-01-14,overall,93.2,93.1,88.6,81.7,81.3,78.3,72.5,71.6,74.7,70.7,75.8,74.4,66.3,63.7,72.1,62.7,62.7,59.0,67.1,53.7,,,
2022-01-23,defense,2.8,3.0,2.5,2.3,2.2,2.1,2.0,1.7,1.8,1.9,2.0,1.9,1.9,1.9,2.0,1.7,1.7,1.7,1.8,1.5,,,
2022-01-23,offense,0.2,0.3,0.4,0.7,0.5,0.7,0.8,0.6,0.6,0.9,0.6,0.7,1.0,1.1,0.8,1.0,0.9,1.1,0.7,1.2,,,
2022-01-23,overall,93.3,93.5,87.6,80.4,82.1,76.5,72.5,71.6,75.7,69.1,76.5,74.1,65.4,63.7,72.8,63.3,63.3,58.8,70.3,52.7,,,
2022-01-03,defense,2.9,2.9,2.5,2.3,2.2,2.1,1.9,1.7,1.9,1.9,2.0,1.9,1.9,1.9,1.9,1.7,1.7,1.6,1.8,1.5,,,
2022-01-03,offense,0.2,0.2,0.4,0.6,0.5,0.7,0.8,0.7,0.5,0.9,0.6,0.6,1.0,1.1,0.8,0.9,0.9,1.1,0.7,1.2,,,
2022-01-03,overall,93.7,93.9,88.2,80.7,82.3,77.0,72.0,68.8,77.5,69.6,77.1,75.2,65.0,63.4,71.8,64.3,64.3,57.9,70.3,52.3,,,
2022-01-05,defense,2.9,2.9,2.5,2.3,2.2,2.1,1.9,1.7,1.9,1.9,2.0,1.9,1.9,1.9,1.9,1.7,1.7,1.6,1.8,1.5,,,
2022-01-05,offense,0.2,0.2,0.4,0.6,0.5,0.7,0.8,0.7,0.5,0.8,0.6,0.6,1.0,1.1,0.8,0.9,0.9,1.1,0.7,1.2,,,
2022-01-05,overall,93.5,93.9,88.2,80.7,82.3,77.0,72.3,68.8,77.5,69.6,77.1,75.2,65.0,63.4,71.8,64.3,64.3,57.9,70.3,52.3,,,
2022-01-30,defense,3.0,2.9,2.4,2.5,2.2,2.1,2.0,1.8,2.1,2.0,2.0,1.9,1.8,1.8,2.0,1.8,1.7,1.6,1.8,1.5,,,
2022-01-30,offense,0.3,0.2,0.3,0.6,0.6,0.8,0.8,0.8,0.5,0.8,0.7,0.5,1.1,1.1,0.8,1.0,0.9,1.2,0.7,1.4,,,
2022-01-30,overall,93.5,93.3,88.4,84.1,80.2,74.7,73.0,69.6,80.0,71.3,76.2,76.5,61.9,63.0,72.4,63.7,63.7,55.3,71.7,47.1,,,
2022-01-20,defense,2.9,2.7,2.4,2.4,2.2,2.1,1.9,1.8,1.9,2.0,2.0,1.8,1.8,1.8,1.9,1.8,,,1.8,,1.6,1.5,1.5
2022-01-20,offense,0.3,0.3,0.4,0.6,0.6,0.7,0.8,0.8,0.7,0.8,0.7,0.7,1.1,1.1,0.9,1.0,,,0.8,,1.0,1.0,1.0
2022-01-20,overall,92.3,90.5,85.7,81.9,78.5,75.2,70.6,67.7,73.7,71.2,74.1,71.4,61.3,62.2,68.6,63.8,,,68.6,,58.7,57.9,57.3
2022-01-09,defense,2.9,2.7,2.4,2.4,2.2,2.1,1.9,1.8,2.0,2.0,2.0,1.8,1.8,1.8,1.9,1.7,,,1.8,,1.6,1.5,1.5
2022-01-09,offense,0.3,0.4,0.4,0.6,0.6,0.8,0.8,0.8,0.7,0.8,0.7,0.7,1.1,1.1,0.8,1.0,,,0.8,,1.0,1.0,1.1
2022-01-09,overall,92.7,89.7,86.0,81.9,79.2,74.6,70.1,68.1,74.2,70.9,73.6,70.6,61.1,61.7,69.1,63.7,,,70.3,,60.0,58.6,55.6
2022-01-15,defense,2.9,2.7,2.4,2.4,2.2,2.1,1.9,1.7,1.9,2.0,2.0,1.8,1.8,1.8,1.9,1.7,,,1.8,,1.6,1.5,1.5
2022-01-15,offense,0.3,0.4,0.4,0.6,0.6,0.8,0.8,0.8,0.7,0.9,0.7,0.7,1.1,1.1,0.8,1.0,,,0.7,,0.9,1.0,1.1
2022-01-15,overall,92.9,89.3,85.8,82.1,79.9,73.3,69.5,67.7,74.8,69.6,73.6,71.0,60.5,62.1,70.2,63.5,,,70.1,,60.9,58.4,56.1
2022-01-27,defense,3.0,2.7,2.3,2.4,2.3,2.1,1.8,1.7,1.9,1.9,2.0,1.9,1.8,1.9,1.9,1.7,,,1.9,,1.7,1.5,1.5
2022-01-27,offense,0.3,0.4,0.5,0.6,0.6,0.8,0.8,0.8,0.6,0.9,0.8,0.7,1.1,1.0,0.9,1.0,,,0.8,,1.0,1.0,1.1
2022-01-27,overall,92.0,88.8,84.0,81.9,80.8,74.1,68.6,68.1,75.7,68.0,71.6,72.5,62.3,64.8,68.8,63.3,,,71.1,,61.6,57.5,56.5
2022-01-29,defense,3.0,2.8,2.3,2.4,2.3,2.1,1.8,1.7,1.9,2.0,1.9,1.9,1.8,1.8,1.9,1.7,,,1.9,,1.7,1.5,1.5
2022-01-29,offense,0.4,0.4,0.5,0.6,0.6,0.8,0.8,0.8,0.6,0.9,0.8,0.7,1.1,1.0,0.9,1.0,,,0.8,,1.0,1.1,1.1
2022-01-29,overall,92.1,90.0,82.7,81.9,80.6,74.1,69.7,66.9,75.8,69.5,71.1,72.2,62.3,64.9,68.7,63.3,,,72.1,,61.7,54.7,56.6
2022-09-04,defense,3.0,2.8,2.2,2.3,2.3,2.1,1.8,1.7,2.0,1.9,1.9,1.8,1.8,1.9,2.0,1.7,,,1.9,,1.7,1.5,1.5
2022-09-04,offense,0.3,0.4,0.6,0.6,0.6,0.8,0.7,0.8,0.6,1.0,0.8,0.8,1.0,1.0,0.9,0.9,,,0.7,,1.0,1.1,1.1
2022-09-04,overall,92.3,89.7,81.5,82.0,80.7,75.6,71.0,67.6,76.3,67.4,70.2,70.2,64.1,64.7,69.8,64.0,,,73.2,,61.4,54.4,55.0
2022-09-07,defense,3.0,2.8,2.2,2.3,2.3,2.1,1.8,1.7,2.0,1.9,1.9,1.8,1.8,1.9,2.0,1.7,,,1.9,,1.7,1.5,1.5
2022-09-07,offense,0.3,0.5,0.6,0.6,0.6,0.8,0.7,0.8,0.6,1.0,0.8,0.8,1.0,1.0,0.9,0.9,,,0.7,,1.0,1.1,1.1
2022-09-07,overall,92.9,88.5,81.0,82.1,80.7,75.6,71.0,67.6,76.3,67.4,70.2,70.2,64.1,64.7,69.8,64.0,,,73.2,,61.4,54.4,55.0
2022-09-15,defense,3.0,2.8,2.2,2.3,2.3,2.1,1.8,1.7,2.0,1.9,1.9,1.8,1.8,1.9,2.0,1.7,,,1.9,,1.7,1.5,1.5
2022-09-15,offense,0.3,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.6,1.0,0.8,0.8,1.0,1.0,0.9,0.9,,,0.7,,1.0,1.1,1.1
2022-09-15,overall,92.7,89.0,81.3,81.9,80.6,75.9,71.3,67.6,76.3,67.4,70.2,70.2,64.1,64.7,69.8,64.0,,,73.2,,61.4,54.4,55.0
2022-09-18,defense,3.0,2.8,2.2,2.4,2.3,2.1,1.8,1.7,2.0,2.0,1.8,1.8,1.8,1.9,2.0,1.7,,,1.9,,1.7,1.5,1.5
2022-09-18,offense,0.3,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.6,1.0,0.7,0.8,1.0,1.0,0.9,0.9,,,0.7,,1.0,1.1,1.2
2022-09-18,overall,93.0,89.0,81.3,81.7,81.5,75.9,71.1,67.2,76.3,67.1,71.0,70.2,63.9,64.7,68.8,64.4,,,72.9,,61.7,54.7,54.2
