,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,season
0,D1,19/08/94,Leverkusen,Kaiserslautern,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995
1,D1,19/08/94,Schalke 04,M'gladbach,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995
2,D1,19/08/94,Stuttgart,Hamburg,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995
3,D1,20/08/94,Bayern Munich,Bochum,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995
4,D1,20/08/94,Dortmund,Munich 1860,4.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995
5,D1,20/08/94,Dresden,Werder Bremen,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995
6,D1,20/08/94,Ein Frankfurt,FC Koln,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995
7,D1,20/08/94,Karlsruhe,Freiburg,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995
8,D1,20/08/94,Uerdingen,Duisburg,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995
9,D1,23/08/94,Bochum,Dresden,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995
10,D1,23/08/94,FC Koln,Dortmund,1.0,6.0,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995
11,D1,23/08/94,Freiburg,Bayern Munich,5.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995
12,D1,23/08/94,Kaiserslautern,Ein Frankfurt,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995
13,D1,23/08/94,Munich 1860,Stuttgart,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995
14,D1,24/08/94,Duisburg,Schalke 04,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995
15,D1,24/08/94,Hamburg,Uerdingen,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995
16,D1,24/08/94,M'gladbach,Karlsruhe,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995
17,D1,24/08/94,Werder Bremen,Leverkusen,3.0,2.0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995
18,D1,26/08/94,Dortmund,Kaiserslautern,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995
19,D1,26/08/94,Dresden,Freiburg,1.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995
20,D1,27/08/94,Bayern Munich,M'gladbach,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995
21,D1,27/08/94,Karlsruhe,Duisburg,4.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995
22,D1,27/08/94,Schalke 04,Hamburg,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995
23,D1,27/08/94,Stuttgart,FC Koln,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995
24,D1,27/08/94,Uerdingen,Munich 1860,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995
25,D1,27/08/94,Werder Bremen,Bochum,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995
26,D1,28/08/94,Leverkusen,Ein Frankfurt,4.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995
27,D1,02/09/94,Duisburg,Bayern Munich,0.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995
28,D1,02/09/94,Freiburg,Werder Bremen,1.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995
29,D1,02/09/94,M'gladbach,Dresden,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995
30,D1,03/09/94,Bochum,Leverkusen,1.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995
31,D1,03/09/94,Ein Frankfurt,Dortmund,4.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995
32,D1,03/09/94,FC Koln,Uerdingen,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995
33,D1,03/09/94,Hamburg,Karlsruhe,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995
34,D1,03/09/94,Kaiserslautern,Stuttgart,3.0,2.0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995
35,D1,03/09/94,Munich 1860,Schalke 04,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995
36,D1,17/09/94,Bayern Munich,Hamburg,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995
