,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,season
0,D1,16/08/96,M'gladbach,Bielefeld,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,S_1996_1997
1,D1,16/08/96,St Pauli,Bayern Munich,1.0,2.0,A,1.0,2.0,A,,,,,,,,,,,,S_1996_1997
2,D1,17/08/96,Bochum,Duisburg,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,S_1996_1997
3,D1,17/08/96,Freiburg,Werder Bremen,3.0,2.0,H,2.0,0.0,H,,,,,,,,,,,,S_1996_1997
4,D1,17/08/96,Hansa Rostock,Karlsruhe,2.0,2.0,D,0.0,1.0,A,,,,,,,,,,,,S_1996_1997
5,D1,17/08/96,Leverkusen,Dortmund,4.0,2.0,H,2.0,2.0,D,,,,,,,,,,,,S_1996_1997
6,D1,17/08/96,Munich 1860,Hamburg,2.0,1.0,H,0.0,0.0,D,,,,,,,,,,,,S_1996_1997
7,D1,17/08/96,Stuttgart,Schalke 04,4.0,0.0,H,2.0,0.0,H,,,,,,,,,,,,S_1996_1997
8,D1,18/08/96,Dusseldorf,FC Koln,0.0,3.0,A,0.0,1.0,A,,,,,,,,,,,,S_1996_1997
9,D1,20/08/96,Bielefeld,St Pauli,1.0,2.0,A,0.0,1.0,A,,,,,,,,,,,,S_1996_1997
10,D1,20/08/96,Hamburg,Freiburg,5.0,1.0,H,4.0,0.0,H,,,,,,,,,,,,S_1996_1997
11,D1,20/08/96,Schalke 04,M'gladbach,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,S_1996_1997
12,D1,20/08/96,Werder Bremen,Hansa Rostock,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,,S_1996_1997
13,D1,21/08/96,Bayern Munich,Bochum,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,,S_1996_1997
14,D1,21/08/96,Dortmund,Dusseldorf,4.0,0.0,H,2.0,0.0,H,,,,,,,,,,,,S_1996_1997
15,D1,21/08/96,Duisburg,Leverkusen,1.0,3.0,A,0.0,0.0,D,,,,,,,,,,,,S_1996_1997
16,D1,21/08/96,FC Koln,Munich 1860,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,S_1996_1997
17,D1,23/08/96,Hansa Rostock,Hamburg,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,S_1996_1997
18,D1,23/08/96,St Pauli,Schalke 04,4.0,4.0,D,1.0,3.0,A,,,,,,,,,,,,S_1996_1997
19,D1,24/08/96,Bochum,Bielefeld,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,,S_1996_1997
20,D1,24/08/96,Freiburg,FC Koln,1.0,3.0,A,0.0,1.0,A,,,,,,,,,,,,S_1996_1997
21,D1,24/08/96,Leverkusen,Dusseldorf,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,S_1996_1997
22,D1,24/08/96,M'gladbach,Karlsruhe,1.0,3.0,A,1.0,2.0,A,,,,,,,,,,,,S_1996_1997
23,D1,24/08/96,Munich 1860,Dortmund,1.0,3.0,A,1.0,0.0,H,,,,,,,,,,,,S_1996_1997
24,D1,24/08/96,Stuttgart,Werder Bremen,2.0,1.0,H,0.0,0.0,D,,,,,,,,,,,,S_1996_1997
25,D1,25/08/96,Duisburg,Bayern Munich,0.0,4.0,A,0.0,2.0,A,,,,,,,,,,,,S_1996_1997
26,D1,27/08/96,Dortmund,Freiburg,3.0,1.0,H,2.0,0.0,H,,,,,,,,,,,,S_1996_1997
27,D1,27/08/96,Hamburg,Stuttgart,0.0,4.0,A,0.0,1.0,A,,,,,,,,,,,,S_1996_1997
28,D1,27/08/96,Schalke 04,Bochum,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,,S_1996_1997
29,D1,27/08/96,Werder Bremen,M'gladbach,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,S_1996_1997
30,D1,28/08/96,Bayern Munich,Leverkusen,4.0,2.0,H,3.0,1.0,H,,,,,,,,,,,,S_1996_1997
31,D1,28/08/96,Bielefeld,Duisburg,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,,S_1996_1997
32,D1,28/08/96,Dusseldorf,Munich 1860,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,S_1996_1997
33,D1,28/08/96,FC Koln,Hansa Rostock,0.0,2.0,A,0.0,1.0,A,,,,,,,,,,,,S_1996_1997
34,D1,28/08/96,Karlsruhe,St Pauli,4.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,S_1996_1997
35,D1,06/09/96,Freiburg,Dusseldorf,1.0,2.0,A,1.0,1.0,D,,,,,,,,,,,,S_1996_1997
36,D1,06/09/96,M'gladbach,Hamburg,3.0,0.0,H,3.0,0.0,H,,,,,,,,,,,,S_1996_1997
37,D1,07/09/96,Bayern Munich,Bielefeld,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,S_1996_1997
38,D1,07/09/96,Bochum,Karlsruhe,3.0,1.0,H,1.0,0.0,H,,,,,,,,,,,,S_1996_1997
39,D1,07/09/96,Duisburg,Schalke 04,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,,S_1996_1997
40,D1,07/09/96,Hansa Rostock,Dortmund,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,S_1996_1997
41,D1,07/09/96,Leverkusen,Munich 1860,3.0,0.0,H,2.0,0.0,H,,,,,,,,,,,,S_1996_1997
42,D1,07/09/96,St Pauli,Werder Bremen,0.0,3.0,A,0.0,2.0,A,,,,,,,,,,,,S_1996_1997
43,D1,08/09/96,Stuttgart,FC Koln,4.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,S_1996_1997
44,D1,13/09/96,Dusseldorf,Hansa Rostock,0.0,2.0,A,0.0,1.0,A,,,,,,,,,,,,S_1996_1997
45,D1,13/09/96,Werder Bremen,Bochum,5.0,1.0,H,3.0,0.0,H,,,,,,,,,,,,S_1996_1997
46,D1,14/09/96,Bielefeld,Leverkusen,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,,S_1996_1997
47,D1,14/09/96,Dortmund,Stuttgart,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,,S_1996_1997
48,D1,14/09/96,FC Koln,M'gladbach,4.0,0.0,H,2.0,0.0,H,,,,,,,,,,,,S_1996_1997
49,D1,14/09/96,Karlsruhe,Duisburg,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,S_1996_1997
50,D1,14/09/96,Munich 1860,Freiburg,4.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,S_1996_1997
51,D1,14/09/96,Schalke 04,Bayern Munich,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,,S_1996_1997
52,D1,15/09/96,Hamburg,St Pauli,3.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,S_1996_1997
53,D1,17/09/96,Karlsruhe,Stuttgart,0.0,2.0,A,0.0,1.0,A,,,,,,,,,,,,S_1996_1997
54,D1,20/09/96,Duisburg,Werder Bremen,3.0,2.0,H,1.0,0.0,H,,,,,,,,,,,,S_1996_1997
55,D1,20/09/96,Hansa Rostock,Munich 1860,2.0,4.0,A,2.0,2.0,D,,,,,,,,,,,,S_1996_1997
56,D1,21/09/96,Bayern Munich,Karlsruhe,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,S_1996_1997
57,D1,21/09/96,Bielefeld,Schalke 04,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,,S_1996_1997
58,D1,21/09/96,Bochum,Hamburg,3.0,1.0,H,1.0,0.0,H,,,,,,,,,,,,S_1996_1997
59,D1,21/09/96,M'gladbach,Dortmund,5.0,1.0,H,3.0,1.0,H,,,,,,,,,,,,S_1996_1997
60,D1,21/09/96,St Pauli,FC Koln,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,S_1996_1997
61,D1,21/09/96,Stuttgart,Dusseldorf,0.0,2.0,A,0.0,0.0,D,,,,,,,,,,,,S_1996_1997
62,D1,22/09/96,Leverkusen,Freiburg,5.0,3.0,H,2.0,1.0,H,,,,,,,,,,,,S_1996_1997
63,D1,27/09/96,FC Koln,Bochum,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,S_1996_1997
64,D1,27/09/96,Karlsruhe,Bielefeld,5.0,2.0,H,2.0,0.0,H,,,,,,,,,,,,S_1996_1997
65,D1,28/09/96,Dusseldorf,M'gladbach,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,S_1996_1997
66,D1,28/09/96,Freiburg,Hansa Rostock,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,S_1996_1997
67,D1,28/09/96,Hamburg,Duisburg,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,,S_1996_1997
68,D1,28/09/96,Munich 1860,Stuttgart,2.0,5.0,A,1.0,2.0,A,,,,,,,,,,,,S_1996_1997
69,D1,28/09/96,Schalke 04,Leverkusen,1.0,2.0,A,1.0,2.0,A,,,,,,,,,,,,S_1996_1997
70,D1,28/09/96,Werder Bremen,Bayern Munich,3.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,S_1996_1997
71,D1,29/09/96,Dortmund,St Pauli,2.0,1.0,H,1.0,0.0,H,,,,,,,,,,,,S_1996_1997
72,D1,04/10/96,Bochum,Dortmund,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,S_1996_1997
73,D1,04/10/96,Leverkusen,Hansa Rostock,4.0,1.0,H,1.0,1.0,D,,,,,,,,,,,,S_1996_1997
74,D1,04/10/96,Stuttgart,Freiburg,4.0,2.0,H,2.0,1.0,H,,,,,,,,,,,,S_1996_1997
75,D1,05/10/96,Bayern Munich,Hamburg,2.0,1.0,H,1.0,0.0,H,,,,,,,,,,,,S_1996_1997
76,D1,05/10/96,Bielefeld,Werder Bremen,3.0,1.0,H,1.0,0.0,H,,,,,,,,,,,,S_1996_1997
77,D1,05/10/96,Duisburg,FC Koln,3.0,0.0,H,2.0,0.0,H,,,,,,,,,,,,S_1996_1997
78,D1,05/10/96,M'gladbach,Munich 1860,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,S_1996_1997
79,D1,05/10/96,Schalke 04,Karlsruhe,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,,S_1996_1997
80,D1,05/10/96,St Pauli,Dusseldorf,3.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,S_1996_1997
81,D1,11/10/96,Freiburg,M'gladbach,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,S_1996_1997
82,D1,11/10/96,Munich 1860,St Pauli,4.0,2.0,H,1.0,0.0,H,,,,,,,,,,,,S_1996_1997
83,D1,12/10/96,Dortmund,Duisburg,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,S_1996_1997
84,D1,12/10/96,FC Koln,Bayern Munich,2.0,4.0,A,0.0,1.0,A,,,,,,,,,,,,S_1996_1997
85,D1,12/10/96,Hamburg,Bielefeld,2.0,2.0,D,2.0,0.0,H,,,,,,,,,,,,S_1996_1997
86,D1,12/10/96,Hansa Rostock,Stuttgart,2.0,2.0,D,0.0,2.0,A,,,,,,,,,,,,S_1996_1997
87,D1,12/10/96,Karlsruhe,Leverkusen,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,,S_1996_1997
88,D1,12/10/96,Werder Bremen,Schalke 04,3.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,S_1996_1997
89,D1,13/10/96,Dusseldorf,Bochum,2.0,2.0,D,2.0,0.0,H,,,,,,,,,,,,S_1996_1997
90,D1,18/10/96,Bochum,Munich 1860,2.0,2.0,D,0.0,1.0,A,,,,,,,,,,,,S_1996_1997
91,D1,18/10/96,Leverkusen,Stuttgart,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,S_1996_1997
92,D1,19/10/96,Bielefeld,FC Koln,1.0,4.0,A,0.0,1.0,A,,,,,,,,,,,,S_1996_1997
93,D1,19/10/96,Duisburg,Dusseldorf,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,S_1996_1997
94,D1,19/10/96,Karlsruhe,Werder Bremen,1.0,3.0,A,1.0,0.0,H,,,,,,,,,,,,S_1996_1997
95,D1,19/10/96,M'gladbach,Hansa Rostock,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,S_1996_1997
96,D1,19/10/96,Schalke 04,Hamburg,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,S_1996_1997
97,D1,19/10/96,St Pauli,Freiburg,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,S_1996_1997
98,D1,20/10/96,Bayern Munich,Dortmund,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,S_1996_1997
99,D1,25/10/96,Hansa Rostock,St Pauli,3.0,1.0,H,3.0,0.0,H,,,,,,,,,,,,S_1996_1997
100,D1,25/10/96,Werder Bremen,Leverkusen,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,,S_1996_1997
101,D1,26/10/96,Dortmund,Bielefeld,5.0,0.0,H,2.0,0.0,H,,,,,,,,,,,,S_1996_1997
102,D1,26/10/96,Dusseldorf,Bayern Munich,0.0,2.0,A,0.0,1.0,A,,,,,,,,,,,,S_1996_1997
103,D1,26/10/96,FC Koln,Schalke 04,3.0,1.0,H,1.0,0.0,H,,,,,,,,,,,,S_1996_1997
104,D1,26/10/96,Hamburg,Karlsruhe,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,S_1996_1997
105,D1,26/10/96,Munich 1860,Duisburg,1.0,1.0,D,1.0,1.0,D,,,,,,,,,,,,S_1996_1997
106,D1,26/10/96,Stuttgart,M'gladbach,5.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,S_1996_1997
107,D1,27/10/96,Freiburg,Bochum,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,,S_1996_1997
108,D1,01/11/96,Bayern Munich,Munich 1860,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,,S_1996_1997
109,D1,01/11/96,Bochum,Hansa Rostock,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,S_1996_1997
110,D1,02/11/96,Bielefeld,Dusseldorf,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,S_1996_1997
111,D1,02/11/96,Duisburg,Freiburg,1.0,4.0,A,0.0,1.0,A,,,,,,,,,,,,S_1996_1997
112,D1,02/11/96,Leverkusen,M'gladbach,3.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,S_1996_1997
113,D1,02/11/96,Schalke 04,Dortmund,1.0,3.0,A,0.0,1.0,A,,,,,,,,,,,,S_1996_1997
114,D1,02/11/96,St Pauli,Stuttgart,2.0,1.0,H,1.0,1.0,D,,,,,,,,,,,,S_1996_1997
115,D1,02/11/96,Werder Bremen,Hamburg,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,S_1996_1997
116,D1,03/11/96,Karlsruhe,FC Koln,4.0,1.0,H,1.0,1.0,D,,,,,,,,,,,,S_1996_1997
117,D1,15/11/96,FC Koln,Werder Bremen,4.0,1.0,H,1.0,0.0,H,,,,,,,,,,,,S_1996_1997
118,D1,15/11/96,M'gladbach,St Pauli,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,S_1996_1997
119,D1,16/11/96,Dortmund,Karlsruhe,1.0,1.0,D,1.0,1.0,D,,,,,,,,,,,,S_1996_1997
