,Unnamed: 0,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Time,season,Attendance
0,0,E0,20/08/94,Arsenal,Man City,3,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
1,1,E0,20/08/94,Chelsea,Norwich,2,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
2,2,E0,20/08/94,Coventry,Wimbledon,1,1,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
3,3,E0,20/08/94,Crystal Palace,Liverpool,1,6,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
4,4,E0,20/08/94,Everton,Aston Villa,2,2,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
5,5,E0,20/08/94,Ipswich,Nott'm Forest,0,1,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
6,6,E0,20/08/94,Man United,QPR,2,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
7,7,E0,20/08/94,Sheffield Weds,Tottenham,3,4,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
8,8,E0,20/08/94,Southampton,Blackburn,1,1,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
9,9,E0,20/08/94,West Ham,Leeds,0,0,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
10,10,E0,21/08/94,Leicester,Newcastle,1,3,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
11,11,E0,22/08/94,Nott'm Forest,Man United,1,1,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
12,12,E0,23/08/94,Blackburn,Leicester,3,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
13,13,E0,23/08/94,Leeds,Arsenal,1,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
14,14,E0,23/08/94,Wimbledon,Ipswich,1,1,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
15,15,E0,24/08/94,Aston Villa,Southampton,1,1,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
16,16,E0,24/08/94,Man City,West Ham,3,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
17,17,E0,24/08/94,Newcastle,Coventry,4,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
18,18,E0,24/08/94,Norwich,Crystal Palace,0,0,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
19,19,E0,24/08/94,QPR,Sheffield Weds,3,2,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
20,20,E0,24/08/94,Tottenham,Everton,2,1,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
21,21,E0,27/08/94,Aston Villa,Crystal Palace,1,1,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
22,22,E0,27/08/94,Blackburn,Coventry,4,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
23,23,E0,27/08/94,Leeds,Chelsea,2,3,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
24,24,E0,27/08/94,Man City,Everton,4,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
25,25,E0,27/08/94,Newcastle,Southampton,5,1,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
26,26,E0,27/08/94,Norwich,West Ham,1,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
27,27,E0,27/08/94,Nott'm Forest,Leicester,1,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
28,28,E0,27/08/94,QPR,Ipswich,1,2,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
29,29,E0,27/08/94,Tottenham,Man United,0,1,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
30,30,E0,27/08/94,Wimbledon,Sheffield Weds,0,1,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
31,31,E0,28/08/94,Liverpool,Arsenal,3,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
32,32,E0,29/08/94,Coventry,Aston Villa,0,1,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
33,33,E0,30/08/94,Crystal Palace,Leeds,1,2,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
34,34,E0,30/08/94,Everton,Nott'm Forest,1,2,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
35,35,E0,30/08/94,Ipswich,Tottenham,1,3,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
36,36,E0,31/08/94,Arsenal,Blackburn,0,0,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
37,37,E0,31/08/94,Chelsea,Man City,3,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
38,38,E0,31/08/94,Leicester,QPR,1,1,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
39,39,E0,31/08/94,Man United,Wimbledon,3,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
40,40,E0,31/08/94,Sheffield Weds,Norwich,0,0,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
41,41,E0,31/08/94,Southampton,Liverpool,0,2,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
42,42,E0,31/08/94,West Ham,Newcastle,1,3,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
43,43,E0,10/09/94,Aston Villa,Ipswich,2,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
44,44,E0,10/09/94,Blackburn,Everton,3,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
45,45,E0,10/09/94,Liverpool,West Ham,0,0,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
46,46,E0,10/09/94,Man City,Crystal Palace,1,1,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
47,47,E0,10/09/94,Newcastle,Chelsea,4,2,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
48,48,E0,10/09/94,Norwich,Arsenal,0,0,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
49,49,E0,10/09/94,Nott'm Forest,Sheffield Weds,4,1,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
50,50,E0,10/09/94,QPR,Coventry,2,2,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
51,51,E0,10/09/94,Wimbledon,Leicester,2,1,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
52,52,E0,11/09/94,Leeds,Man United,2,1,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
53,53,E0,12/09/94,Tottenham,Southampton,1,2,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
54,54,E0,17/09/94,Coventry,Leeds,2,1,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
55,55,E0,17/09/94,Crystal Palace,Wimbledon,0,0,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
56,56,E0,17/09/94,Everton,QPR,2,2,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
57,57,E0,17/09/94,Leicester,Tottenham,3,1,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
58,58,E0,17/09/94,Man United,Liverpool,2,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
59,59,E0,17/09/94,Sheffield Weds,Man City,1,1,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
60,60,E0,17/09/94,Southampton,Nott'm Forest,1,1,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
61,61,E0,17/09/94,West Ham,Aston Villa,1,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
62,62,E0,18/09/94,Arsenal,Newcastle,2,3,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
